0,317
0,294
0,0
0,281
0,285
0,399
0,289
0,242
0,460
0,282
0,291
0,143
0,333
0,470
0,427
0,277
0,34
0,111
0,442
0,451
0,178
0,273
0,267
0,366
0,385
0,96
0,190
0,257
0,197
0,453
0,488
0,439
0,225
0,114
0,348
0,272
0,97
0,239
0,493
0,9
0,311
0,343
0,227
0,458
0,64
0,425
0,5
0,134
0,69
0,101
0,309
0,26
0,279
0,408
0,389
0,47
0,52
0,449
0,332
0,74
0,19
0,28
0,98
0,422
0,354
0,284
0,342
0,421
0,56
0,18
0,351
0,292
0,194
0,35
0,352
0,247
0,364
0,204
0,456
0,431
0,472
0,115
0,118
0,179
0,37
0,264
0,384
0,275
0,201
0,434
0,10
0,67
0,140
0,106
0,82
0,155
0,474
0,156
0,349
0,68
0,48
0,157
0,404
0,117
0,223
0,464
0,84
0,246
0,413
0,423
0,495
0,350
0,170
0,25
0,81
0,46
0,238
0,112
0,240
0,241
0,250
0,465
0,393
0,365
0,176
0,17
0,208
0,280
0,483
0,471
0,152
0,491
0,455
0,319
0,237
0,417
0,362
0,62
0,383
0,6
0,335
0,432
0,392
0,304
0,446
0,200
0,328
0,302
0,11
0,428
0,255
0,50
0,341
0,22
0,373
0,388
0,480
0,136
0,221
0,40
0,269
0,303
0,312
0,377
0,278
0,353
0,263
0,363
0,185
0,23
0,24
0,232
0,109
0,429
0,345
0,355
0,145
0,144
0,13
0,191
0,104
0,402
0,57
0,7
0,129
0,30
0,116
0,147
0,305
0,100
0,411
0,300
0,498
0,270
0,359
0,177
0,419
0,131
0,410
0,396
0,452
0,445
0,322
0,36
0,251
0,206
0,398
0,256
0,226
0,91
0,212
0,113
0,444
0,218
0,420
0,499
0,49
0,230
0,146
0,72
0,39
0,235
0,440
0,271
0,189
0,243
0,310
0,103
0,261
0,105
0,299
0,41
0,324
0,436
0,448
0,71
0,33
0,441
0,236
0,321
0,3
0,166
0,196
0,165
0,142
0,418
0,381
0,390
0,323
0,53
0,344
0,462
0,215
0,12
0,76
0,58
0,314
0,207
0,293
0,173
0,160
0,224
0,108
0,245
0,494
0,219
